Length of List, Number Of Sorts, Variance
2800,1400,12511389974596.58
2800,1450,10741163774329.195
2800,1500,11013087838579.703
2800,1550,12709317078521.164
2800,1600,11597854012556.783
2800,1650,15166678658421.465
2800,1700,17838240047060.92
2800,1750,16662423556002.547
2800,1800,10977982412735.648
2800,1850,21866488272291.55
2800,1900,13559292477193.555
2800,1950,19332250950242.81
2800,2000,29407881386239.016
2800,2050,21794149104484.355
2800,2100,18634724163274.92
2800,2150,26023271804525.73
2800,2200,16547160913011.705
2800,2250,30234736536590.754
2800,2300,25363836900714.062
2800,2350,24499388354283.258
2800,2400,26921073741587.29
2800,2450,21013321106152.008
2800,2500,15770679333212.408
3000,50,18180624946.618774
3000,100,98242973943.20999
3000,150,326806199196.99695
3000,200,638823559373.546
3000,250,369529581341.0284
3000,300,1190119100414.108
3000,350,463826135726.4616
3000,400,2598470821943.599
3000,450,605140742053.4109
3000,500,2988935450983.9385
3000,550,1370244083234.9517
3000,600,3328820025565.948
3000,650,3397205472366.235
3000,700,4174288632327.5947
3000,750,5083227531511.42
3000,800,6522614329734.003
3000,850,3382415535184.246
3000,900,10748824589797.945
3000,950,4785416326392.186
3000,1000,8428932030378.1
3000,1050,4891384075332.23
3000,1100,8192502171447.053
3000,1150,10008190236053.924
3000,1200,10947439110236.582
3000,1250,14323403969726.809
3000,1300,8574195810622.56
3000,1350,15455304456488.723
3000,1400,10967231922405.336
3000,1450,11674863599014.857
3000,1500,16632255463140.34
3000,1550,15240958707649.436
3000,1600,9350687014247.86
3000,1650,17568340652544.217
3000,1700,20508728885940.46
3000,1750,16328325192801.418
3000,1800,16334199286242.836
3000,1850,19159513996190.625
3000,1900,11971354623352.555
3000,1950,15966909425675.955
3000,2000,21705299098148.44
3000,2050,27751029634052.445
3000,2100,22173500923863.035
3000,2150,17517154359827.664
3000,2200,26322207639488.855
3000,2250,24864703408467.246
3000,2300,26457153575956.855
3000,2350,22267239336911.105
3000,2400,31413357111102.99
3000,2450,22167859065106.383
3000,2500,17941389522631.73
3200,50,27652235460.340378
3200,100,98704126703.76682
3200,150,53437361488.51537
3200,200,808438811274.8289
3200,250,1163425724172.34
3200,300,860981119535.08
3200,350,1581756777975.2954
3200,400,2080896656415.969
3200,450,2470271616884.734
3200,500,3195096167726.13
3200,550,3159875699334.9033
3200,600,3183557931892.345
3200,650,3921569847723.7803
3200,700,3350531858766.413
3200,750,2934180049344.4097
3200,800,6174475180541.318
3200,850,4807767190211.349
3200,900,3031003807652.865
3200,950,7143296849873.114
3200,1000,9417440060649.303
3200,1050,12207663238264.676
3200,1100,6688588749713.812
3200,1150,13339235654925.242
3200,1200,17609263958265.207
3200,1250,14712533008915.719
3200,1300,11482360666785.986
3200,1350,11248510928693.82
3200,1400,25884676471179.81
3200,1450,15422490035625.135
3200,1500,17291528026304.623
3200,1550,14623815343532.363
3200,1600,15831674481518.945
3200,1650,13208412486050.373
3200,1700,22392598693574.27
3200,1750,24285976546963.09
3200,1800,26347904527249.023
3200,1850,19819837063860.496
3200,1900,25486894178439.64
3200,1950,15766047098320.857
3200,2000,28268282109099.7
3200,2050,15081829800662.908
3200,2100,17562263717328.96
3200,2150,21404076426465.29
3200,2200,28897153945715.88
3200,2250,25473257240602.723
3200,2300,31160997644636.91
3200,2350,25164224489257.12
3200,2400,29440296742266.266
3200,2450,28043465433591.305
3200,2500,24533949981257.227
3400,50,47205048131.34186
3400,100,232853250540.67838
3400,150,532691651087.8353
3400,200,1143893513472.257
3400,250,593725767419.0548
3400,300,1281106217313.1238
3400,350,2175442952230.5498
3400,400,3105330728207.912
3400,450,2258582912863.4893
3400,500,2602061022302.768
3400,550,2145570356058.9656
3400,600,4525552126681.6
3400,650,4052510512100.024
3400,700,4609589516463.488
3400,750,4960020279566.211
3400,800,7023394986338.132
3400,850,6917626512723.572
3400,900,8688512810421.01
3400,950,11096179924669.992
3400,1000,10867896493708.28
3400,1050,9585321524626.867
3400,1100,6190967476264.815
3400,1150,9057003913187.266
3400,1200,15500258554853.783
3400,1250,17177711644935.393
3400,1300,8605619365059.236
3400,1350,19936861559397.703
3400,1400,17479665051009.98
3400,1450,16892419643949.326
3400,1500,14965453322869.943
3400,1550,25471476680891.49
3400,1600,16893203226027.467
3400,1650,29047513037384.344
3400,1700,26965258028707.28
3400,1750,25781544828780.566
3400,1800,19419569618701.29
3400,1850,21261403082252.895
3400,1900,18392106660756.336
3400,1950,23160185828817.68
3400,2000,23349242335073.81
3400,2050,27236671787054.23
3400,2100,25086221854215.18
3400,2150,26463177186396.168
3400,2200,27127891138722.28
3400,2250,31120456619105.996
3400,2300,28540529889373.33
3400,2350,33609539275249.38
3400,2400,33462390786050.285
3400,2450,25282121532256.63
3400,2500,40802614935942.45
3600,50,17558289737.03897
3600,100,168632772499.45276
3600,150,596465015454.9814
3600,200,592110951860.0436
3600,250,429772468158.1302
3600,300,649537370188.3123
3600,350,518121414908.7733
3600,400,2776489048141.046
3600,450,2551348696875.0586
3600,500,3376736516470.688
3600,550,2204281284207.754
3600,600,4086485080838.638
3600,650,6749669812238.203
3600,700,6532885047772.319
3600,750,7068245719414.356
3600,800,8089208782531.872
3600,850,11817139097864.107
3600,900,11129495060480.174
3600,950,5505784311239.58
3600,1000,8310711678699.089
3600,1050,10106645941547.494
3600,1100,13217867967097.643
3600,1150,13145663861021.549
3600,1200,14425626535639.475
3600,1250,13035966827724.316
3600,1300,17708324788146.117
3600,1350,14488047221980.232
3600,1400,25389368898874.145
3600,1450,15565447579894.422
3600,1500,13122445852014.738
3600,1550,18997563711259.184
3600,1600,18918940355089.848
3600,1650,16628523192537.848
3600,1700,24400927041967.312
3600,1750,22250450096877.22
3600,1800,24692388871278.39
3600,1850,26047420745663.91
3600,1900,33148983667796.76
3600,1950,24921548637491.45
3600,2000,32112516656505.703
3600,2050,28904519361010.027
3600,2100,30349298869104.617
3600,2150,26533774372121.242
3600,2200,35009911842117.793
3600,2250,26917945146663.574
3600,2300,30430789485781.453
3600,2350,32043487237479.04
3600,2400,27466168778377.477
3600,2450,27251284126818.12
3600,2500,32966504912066.805
3800,50,99322355759.08778
3800,100,386037499783.25134
3800,150,358431471696.28186
3800,200,645520913556.9504
3800,250,696287852689.4836
3800,300,1116032827152.2327
3800,350,2435232582424.1807
3800,400,3284163074585.024
3800,450,3075325757592.302
3800,500,2136439965190.5142
3800,550,3066729843151.993
3800,600,6363819774857.066
3800,650,3793946804357.681
3800,700,6990875103179.114
3800,750,7937156607205.09
3800,800,6983078834845.114
3800,850,8816541701461.1
3800,900,10909158820286.188
3800,950,9406628214710.992
3800,1000,11231868368424.744
3800,1050,9173936322171.016
3800,1100,11882408195680.85
3800,1150,19178963708572.28
3800,1200,14119941033439.238
3800,1250,14519787379590.842
3800,1300,25400371118883.51
3800,1350,21428191946054.734
3800,1400,16263435712592.82
3800,1450,18157353250859.375
3800,1500,26739547996177.05
3800,1550,25094905064449.09
3800,1600,23704948087499.535
3800,1650,26860639406676.85
3800,1700,23448040273179.844
3800,1750,27849830081686.305
3800,1800,15970592738426.133
3800,1850,21526830354045.336
3800,1900,35172769268810.63
3800,1950,34710901365042.79
3800,2000,36770747473684.81
3800,2050,38712554901266.734
3800,2100,42025467968737.96
3800,2150,33969373387473.48
3800,2200,37142418027579.88
3800,2250,22442318484308.293
3800,2300,36625854127638.516
3800,2350,39889306600641.62
3800,2400,37462259834024.71
3800,2450,26084867912756.008
3800,2500,40849814228374.414
4000,50,63081889412.527115
4000,100,423751907456.8471
4000,150,987473165005.5033
4000,200,601311286209.2256
4000,250,1646361654576.5415
4000,300,2069323409014.509
4000,350,3135411766474.093
4000,400,596573085312.7788
4000,450,4035257120819.724
4000,500,3820956388144.635
4000,550,4979261665669.785
4000,600,4373466747329.7217
4000,650,7566764089480.912
4000,700,13499653938759.32
4000,750,10318519520879.852
4000,800,7847175445362.082
4000,850,7806717464184.229
4000,900,13324722757310.805
4000,950,6788660567987.027
4000,1000,12759108852805.107
4000,1050,11448677969748.178
4000,1100,12169426301253.703
4000,1150,15160891143736.023
4000,1200,17526314748569.408
4000,1250,21583786491828.86
4000,1300,14993090325980.127
4000,1350,20394085162702.406
4000,1400,27364551558862.98
4000,1450,10405558607851.912
4000,1500,18517716899627.406
4000,1550,18020516893699.473
4000,1600,33777722406118.645
4000,1650,21872532960374.508
4000,1700,20819268344262.08
4000,1750,21683589039771.535
4000,1800,29914142204306.72
4000,1850,24453679952842.65
4000,1900,31912885475240.273
4000,1950,30153099740249.848
4000,2000,34925755083568.688
4000,2050,25144687357809.742
4000,2100,18825221074925.895
4000,2150,28256105043929.08
4000,2200,38146147896263.266
4000,2250,41272627025038.58
4000,2300,39961596982799.16
4000,2350,27461255469463.35
4000,2400,32830571358910.523
4000,2450,38646914245222.35
4000,2500,59492679534044.016
4200,50,151635635574.27908
4200,100,193566715182.30493
4200,150,72036953941.35362
4200,200,492345972427.3569
4200,250,1246101191460.2769
4200,300,1600260452475.3674
4200,350,3230870468719.7627
4200,400,2724631592444.239
4200,450,3685729563520.282
4200,500,5836757828531.353
4200,550,5903746881721.134
4200,600,4041421098083.861
4200,650,2958212971400.2075
4200,700,7211388285001.056
4200,750,6965150254863.148
4200,800,6427014589223.74
4200,850,10619958433003.703
4200,900,9446724421288.334
4200,950,11730402659748.922
4200,1000,10992084281466.678
4200,1050,12515468562966.344
4200,1100,15135329924016.672
4200,1150,13621404601611.656
4200,1200,15154652216242.195
4200,1250,16281523581590.824
4200,1300,13849009070590.676
4200,1350,19168822724493.727
4200,1400,21334092564375.215
4200,1450,19244006333329.598
4200,1500,21263469161556.098
